iter	Passed	Remaining
0	95	95031
1	193	96790
2	277	92335
3	367	91481
4	450	89593
5	525	87119
6	610	86533
7	693	86003
8	763	84022
9	837	82899
10	911	81976
11	992	81686
12	1069	81173
13	1117	78718
14	1194	78458
15	1277	78555
16	1352	78221
17	1420	77476
18	1493	77123
19	1554	76180
20	1623	75665
21	1700	75580
22	1774	75373
23	1849	75195
24	1929	75247
25	2005	75129
26	2079	74952
27	2154	74798
28	2228	74611
29	2290	74071
30	2367	73991
31	2389	72268
32	2463	72184
33	2539	72141
34	2584	71262
35	2664	71345
36	2738	71277
37	2814	71257
38	2892	71285
39	2970	71291
40	3047	71278
41	3123	71242
42	3199	71197
43	3274	71135
44	3354	71188
45	3429	71124
46	3507	71113
47	3583	71063
48	3662	71079
49	3704	70389
50	3777	70285
51	3816	69575
52	3890	69521
53	3964	69452
54	4039	69405
55	4112	69320
56	4188	69295
57	4266	69288
58	4339	69217
59	4421	69267
60	4496	69214
61	4575	69219
62	4667	69425
63	4743	69376
64	4818	69309
65	4894	69267
66	4975	69281
67	5052	69246
68	5119	69080
69	5193	68995
70	5270	68967
71	5350	68960
72	5422	68856
73	5498	68805
74	5575	68769
75	5650	68702
76	5733	68722
77	5806	68637
78	5884	68603
79	5960	68545
80	6036	68488
81	6112	68432
82	6197	68471
83	6307	68786
84	6402	68916
85	6483	68909
86	6566	68913
87	6638	68798
88	6684	68421
89	6768	68440
90	6843	68362
91	6918	68277
92	6993	68209
93	7067	68114
